Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Population, total",SP.POP.TOTL,,,,10.2,7.22,7.65,4.6,-0.71,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Population, total",SP.POP.TOTL,,,,3.45,2.03,1.94,1.61,1.91,1.28,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Population, total",SP.POP.TOTL,,,,4.52,8.89,3.25,2.92,4.78,6.4,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Population, total",SP.POP.TOTL,,,,13.47,10.29,8.78,7.28,9.15,30.7,29.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Population, total",SP.POP.TOTL,,,,4.72,1.41,0.15,-0.25,-0.97,-0.52,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Population, total",SP.POP.TOTL,,,,3.46,3.38,1.06,1.09,0.97,-0.49,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,,,,4.32,0.63,-2.37,0.42,0.48,-0.89,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Population, total",SP.POP.TOTL,4.35,1.77,2.92,3.3,1.76,2.45,2.49,1.51,1.28,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,"Population, total",SP.POP.TOTL,3.22,0.51,1.81,3.29,2.49,2,1.61,0.9,0.89,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Population, total",SP.POP.TOTL,,,,3.2,1.97,0.72,1.51,1.87,-0.35,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,,,,-0.4,2.76,3.3,2.65,1.84,2.8,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Population, total",SP.POP.TOTL,,,,11.33,6.22,7.53,6.99,6.19,5.43,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Population, total",SP.POP.TOTL,,,,9.43,4.53,1.81,1.77,-1.11,1.28,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,4.49,-0.05,2.19,3.53,2.84,1.11,0.34,0.56,1.97,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,"Population, total",SP.POP.TOTL,6.39,-1.1,0.92,1.6,1.3,0.51,1.2,-0.86,0.66,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Population, total",SP.POP.TOTL,,,,2.72,6.74,0.89,-1.01,0.27,-0.85,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Population, total",SP.POP.TOTL,,,,,,,8.27,4.55,4.31,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,,,2.5,9.88,4.52,5.74,5.76,4.06,3.63,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Population, total",SP.POP.TOTL,7.43,-0.38,2.12,3.67,2.05,-0.09,-0.9,-1.02,-1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,"Population, total",SP.POP.TOTL,,,,8.46,7.54,5.88,4.4,3.06,2.81,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"Population, total",SP.POP.TOTL,5.68,4.89,5.04,6.64,5.4,6.2,6.33,9.03,8.74,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,,,,0.14,0.11,0.39,-0.21,-0.42,-0.74,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,12.35,2.75,2.44,4.22,2.95,0.89,-1.42,-0.1,-0.8,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Population, total",SP.POP.TOTL,,,,2.76,3.82,0.53,-0.26,0.95,-0.24,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,"Population, total",SP.POP.TOTL,24.41,10.56,6.49,9.59,18.16,7.94,4.41,5.54,5.56,16.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
